,CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
0,90482134,2017,2017-06-20,9375,2017-06-09,948,014726,,5,1,9,100,0,3,5,,2,002,150TH AVE,FREEDOM AVE,0.0,,Y,B,-,Y,,,,,,,,,,Y,3,0,3,3,A,-,12,21453.0,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,1,2,0,0,0,0,0,0,-,-,37.70919,-122.12413000000001,ALAMEDA,UNINCORPORATED,-122.12452992,37.70947991
1,90474284,2017,2017-06-13,9375,2017-06-07,653,014726,,3,1,9,100,0,2,4,,1,012,HESPERIAN BLVD,GRANT AVE,95.0,S,N,B,-,Y,,,,,,,,,,Y,4,0,1,2,A,-,09,21453.0,B,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.68277,-122.12858999999999,ALAMEDA,UNINCORPORATED,-122.12890773,37.68254878
2,90472160,2017,2017-06-06,9375,2017-05-20,1845,021471,,6,2,9,100,0,3,5,,2,003,SAN MIGUEL AVE,CASTRO VALLEY BLVD,13.0,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107.0,,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,-,-,37.69569,-122.08086000000002,ALAMEDA,UNINCORPORATED,-122.08121000000001,37.69555
3,90465951,2017,2017-05-29,9345,2017-05-21,2005,021292,,7,2,6,105,0,1,1,,2,070,I-880 S/B TO AUTO MALL PARKWAY,AUTO MALL PKY,850.0,N,N,A,-,Y,,,880.0,,,,R,,S,Y,3,0,1,2,A,-,08,22107.0,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,-,99,0,1,0,0,0,0,0,0,1,-,-,37.50866,-121.96928999999999,ALAMEDA,FREMONT,-121.96928999999999,37.50866
4,90459091,2017,2017-05-19,9375,2017-05-11,1851,017549,,4,2,9,100,0,1,3,,1,185,SR-185 N/B,163RD AVE,150.0,N,N,A,-,N,,,185.0,,,,,,N,Y,4,0,1,2,A,-,09,21804.0,A,M,D,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,-,-,37.696509999999996,-122.11595,ALAMEDA,UNINCORPORATED,-122.11596031,37.69649527
5,90457986,2017,2017-05-17,9375,2017-05-06,1720,021068,,6,2,9,100,0,3,5,,2,002,167TH AVENUE,STATE ROUTE 185,815.0,E,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,05,21460.0,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.693709999999996,-122.10748999999998,ALAMEDA,UNINCORPORATED,,
6,90456985,2017,2017-05-16,9345,2017-05-11,2050,020864,,4,2,9,100,0,1,1,,2,073,I-880 S/B FROM A ST E/B,A ST,5.0,S,N,A,-,Y,,,,,,,,,,N,2,0,1,2,A,-,11,21950.0,B,F,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,-,-,37.661559999999994,-122.10803,ALAMEDA,UNINCORPORATED,-122.10776256,37.666317600000006
7,90448635,2017,2017-05-03,9375,2017-04-28,1658,020842,,5,2,9,100,0,2,4,,2,032,SOMERSET AVE.,BETROSE CT,0.0,,Y,A,-,N,,,,,,,,,,N,4,0,2,3,A,-,01,23152.0,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,2,0,0,0,0,0,0,-,-,37.700540000000004,-122.09118000000001,ALAMEDA,UNINCORPORATED,-122.09109991,37.70063998
8,90435634,2017,2017-04-17,9375,2017-04-08,2155,021401,,6,2,9,100,0,2,4,,1,020,LEWELLING BOULEVARD,ASHLAND AVENUE,42.0,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107.0,,N,B,C,A,A,H,-,C,A,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,-,-,37.68672,-122.11928,ALAMEDA,UNINCORPORATED,-122.11919518,37.686679999999996
9,90429747,2017,2017-04-07,9390,2017-04-01,1310,020761,,6,1,9,100,0,1,1,,2,054,I-580 EASTBOUND,GRANT LINE ROAD,7920.0,W,N,A,-,Y,,,580.0,,,,,,E,Y,4,0,1,2,A,-,03,22350.0,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.73447,-121.61336000000001,ALAMEDA,UNINCORPORATED,-121.61336551,37.73454521
