CODE,COUNTY
1,ALAMEDA
2,ALPINE
3,AMADOR
4,BUTTE
5,CALAVERAS
6,COLUSA
7,CONTRA COSTA
8,DEL NORTE
9,EL DORADO
10,FRESNO
11,GLENN
12,HUMBOLDT
13,IMPERIAL
14,INYO
15,KERN
16,KINGS
17,LAKE
18,LASSEN
19,LOS ANGELES
20,MADERA
21,MARIN
22,MARIPOSA
23,MENDOCINO
24,MERCED
25,MODOC
26,MONO
27,MONTEREY
28,NAPA
29,NEVADA
30,ORANGE
31,PLACER
32,PLUMAS
33,RIVERSIDE
34,SACRAMENTO
35,SAN BENITO
36,SAN BERNARDINO
37,SAN DIEGO
38,SAN FRANCISCO
39,SAN JOAQUIN
40,SAN LUIS OBISPO
41,SAN MATEO
42,SANTA BARBARA
43,SANTA CLARA
44,SANTA CRUZ
45,SHASTA
46,SIERRA
47,SISKIYOU
48,SOLANO
49,SONOMA
50,STANISLAUS
51,SUTTER
52,TEHAMA
53,TRINITY
54,TULARE
55,TUOLUMNE
56,VENTURA
57,YOLO
58,YUBA
